mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.030078887939453125,0.007273514945505503,0.01655154228210449,0.003967618278928262,0.1,scale,"{'model__C': 0.1, 'model__gamma': 'scale'}",0.554171533281395,0.5991356403055832,0.5938949938949939,0.5799439221507504,0.5606456106362403,0.5775583400537926,0.017726479031016203,16
0.0263155460357666,0.000824305563927516,0.013537311553955078,0.00133334683985181,0.1,0.001,"{'model__C': 0.1, 'model__gamma': 0.001}",0.1015625,0.10209424083769633,0.10209424083769633,0.10209424083769633,0.23310185185185184,0.12818941487298816,0.052456622751172056,20
0.026415491104125978,0.002081220973563923,0.014946699142456055,0.0009829555807314503,0.1,0.01,"{'model__C': 0.1, 'model__gamma': 0.01}",0.44980847159097914,0.44706397562833206,0.4473434535104365,0.37016537384184445,0.4305412983772555,0.42898451458976955,0.03019824375360629,17
0.02093477249145508,0.0002741024235401089,0.012410736083984375,0.0008509112473133308,0.1,0.1,"{'model__C': 0.1, 'model__gamma': 0.1}",0.6244542184111965,0.610266719658179,0.6379715810374782,0.5777146464646465,0.5459927294819178,0.5992799790106836,0.03333492281980457,15
0.02722773551940918,0.0031758073191491785,0.014633893966674805,0.0015490089762588536,0.1,1,"{'model__C': 0.1, 'model__gamma': 1}",0.3240303983228512,0.11513157894736842,0.10209424083769633,0.22998614220232383,0.1603942652329749,0.18632732510864294,0.08210334832932101,19
0.017545604705810548,0.000866831089241238,0.01114187240600586,0.0007405778397798321,1.0,scale,"{'model__C': 1, 'model__gamma': 'scale'}",0.7831245836109261,0.7386769908174018,0.7217396795594664,0.7246326658091363,0.669742659111622,0.7275833157817105,0.036321613514434636,9
0.025017690658569337,0.002360961363213326,0.01431722640991211,0.001247242979236893,1.0,0.001,"{'model__C': 1, 'model__gamma': 0.001}",0.39937009286473213,0.3915391539153915,0.40023510971786835,0.4083488424030373,0.4384392366043742,0.4075864871010807,0.016318959057301602,18
0.023046255111694336,0.00200044814625551,0.014541339874267579,0.0018289894599223002,1.0,0.01,"{'model__C': 1, 'model__gamma': 0.01}",0.7430303350563338,0.7366833077659518,0.6679539680565673,0.6979357062690396,0.6493964170450823,0.6989999468385949,0.036835326391620675,10
0.02531886100769043,0.0032570186151954024,0.013644981384277343,0.001725834318306445,1.0,0.1,"{'model__C': 1, 'model__gamma': 0.1}",0.8028571428571429,0.7370121163609707,0.7282045141663377,0.7796803727391065,0.7075894392844857,0.7510687170816087,0.034961336588582435,8
0.041763830184936526,0.004479984064618007,0.01811971664428711,0.0019339139807629648,1.0,1,"{'model__C': 1, 'model__gamma': 1}",0.7146074885650462,0.6663877592744829,0.6350916219221445,0.6942954835430973,0.6684324384559852,0.6757629583521514,0.027011628992381596,14
0.020537948608398436,0.002470154724339543,0.011205625534057618,0.0018869881591023184,10.0,scale,"{'model__C': 10, 'model__gamma': 'scale'}",0.8435129115725613,0.8318386333993301,0.8121647880141382,0.8135721069054402,0.7604079676702562,0.8122992815123451,0.028461987277560177,3
0.032720518112182614,0.017664179483738787,0.027513456344604493,0.03010097537048548,10.0,0.001,"{'model__C': 10, 'model__gamma': 0.001}",0.716421292464333,0.7286131407290319,0.6617963294472718,0.7001883065283326,0.6765237486031975,0.6967085635544334,0.024677492505918806,11
0.03103981018066406,0.01745214938090728,0.014555549621582032,0.0016265899278405274,10.0,0.01,"{'model__C': 10, 'model__gamma': 0.01}",0.8030961341087923,0.7952308881725503,0.8013804004214963,0.8082493968569918,0.7515258358486857,0.7918965310817032,0.02060923130778885,6
0.022410774230957033,0.0013567097039308014,0.01145939826965332,0.001173239551604167,10.0,0.1,"{'model__C': 10, 'model__gamma': 0.1}",0.8435940119068261,0.8435595386687524,0.7928734730885656,0.822452726988592,0.7568611867147531,0.8118681874734979,0.033194793146936824,4
0.0332094669342041,0.0039450931603364015,0.013950586318969727,0.0012451236391747677,10.0,1,"{'model__C': 10, 'model__gamma': 1}",0.6979352397818519,0.6752998749541654,0.6588750880902043,0.6981165722102795,0.6632084580256066,0.6786870466124215,0.016682762014810067,12
0.02277684211730957,0.0015001322081775875,0.007959556579589844,0.0003922421248572116,100.0,scale,"{'model__C': 100, 'model__gamma': 'scale'}",0.8374783010858962,0.8698544006655969,0.8071162318368922,0.8099824376536705,0.7611764070539255,0.8171215556591962,0.035989118327595514,2
0.01592283248901367,0.0015209123906915942,0.010037851333618165,0.001805935658758045,100.0,0.001,"{'model__C': 100, 'model__gamma': 0.001}",0.8096295011849026,0.7817508710801394,0.7586326458036984,0.7983739837398374,0.721880398305551,0.7740534800228257,0.031228905186554884,7
0.01854705810546875,0.0038887646354903342,0.008258628845214843,0.0017784947357503704,100.0,0.01,"{'model__C': 100, 'model__gamma': 0.01}",0.8570341068917018,0.8632467487098437,0.8429082321187584,0.8361362838075167,0.8079207454207454,0.8414492233897132,0.01935218629635084,1
0.02215733528137207,0.0024503991185950784,0.008870983123779297,0.0009373579011291747,100.0,0.1,"{'model__C': 100, 'model__gamma': 0.1}",0.8305258985855484,0.8573102035127351,0.7940639511183902,0.7970546636732648,0.7748369848721961,0.810758340352427,0.0293757365461959,5
0.030670690536499023,0.004696626654213035,0.015999412536621092,0.002900717729940103,100.0,1,"{'model__C': 100, 'model__gamma': 1}",0.6979352397818519,0.6752998749541654,0.6588750880902043,0.6981165722102795,0.6632084580256066,0.6786870466124215,0.016682762014810067,12
