mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04138936996459961,0.005857271631293677,0.026380014419555665,0.0018815072129357662,0.1,scale,"{'model__C': 0.1, 'model__gamma': 'scale'}",0.637595628048535,0.6079429267996275,0.615479407872054,0.6440422243268124,0.5466437632135307,0.6103407900521118,0.034548745956214384,16
0.048834943771362306,0.004175411229081508,0.02588033676147461,0.004956408319169021,0.1,0.001,"{'model__C': 0.1, 'model__gamma': 0.001}",0.1015625,0.10209424083769633,0.10209424083769633,0.10209424083769633,0.20757741632780732,0.12308452776817927,0.04224694623916861,20
0.039071273803710935,0.00501990677233957,0.022190237045288087,0.0036685803563012436,0.1,0.01,"{'model__C': 0.1, 'model__gamma': 0.01}",0.5139571573310175,0.4694356330954269,0.4891217703866795,0.4770535714285714,0.4041244176486709,0.47073850997807315,0.03656449241664331,17
0.038516998291015625,0.005175787049676293,0.022242116928100585,0.002551676343294989,0.1,0.1,"{'model__C': 0.1, 'model__gamma': 0.1}",0.6535467671060892,0.6210772319467972,0.6436141476439979,0.6529589714501797,0.5486795292829776,0.6239753294860083,0.03944125023533026,15
0.05055747032165527,0.012203461065902895,0.01975903511047363,0.004283615150371862,0.1,1,"{'model__C': 0.1, 'model__gamma': 1}",0.2705432937181664,0.11536972512582268,0.10209424083769633,0.2693151147098516,0.20773480662983426,0.19301143620427424,0.0725870369036228,19
0.032574129104614255,0.004934082254509352,0.025242328643798828,0.005072950721557371,1.0,scale,"{'model__C': 1, 'model__gamma': 'scale'}",0.748006521329692,0.7507221693968681,0.725530303030303,0.7763598533819123,0.7234126984126984,0.7448063091102948,0.019339678934028617,9
0.040147829055786136,0.006525392138125549,0.02227444648742676,0.004561198854769305,1.0,0.001,"{'model__C': 1, 'model__gamma': 0.001}",0.47074692774585525,0.4523369273936757,0.49000370644922164,0.4788509876947454,0.45798533764837973,0.46998477738637556,0.013677581969168318,18
0.021613025665283205,0.0023792593918806506,0.014696645736694335,0.0017703322314723254,1.0,0.01,"{'model__C': 1, 'model__gamma': 0.01}",0.7323468040459293,0.7184612956775343,0.6869977216238607,0.73831569664903,0.6527602250493817,0.7057763486091473,0.03190314198903701,10
0.01865696907043457,0.003162166770764195,0.01097855567932129,0.0011874310951203745,1.0,0.1,"{'model__C': 1, 'model__gamma': 0.1}",0.7683220864758376,0.7924280693888537,0.7534894303099062,0.7566133201341914,0.7409930984986396,0.7623692009614856,0.017366005093317014,8
0.0260343074798584,0.003375213626789175,0.012045049667358398,0.003034117031860997,1.0,1,"{'model__C': 1, 'model__gamma': 1}",0.6647851525836331,0.7328958586208889,0.627396304650403,0.6752937538651824,0.5921837228041902,0.6585109585048595,0.047374180682922755,14
0.016798114776611327,0.0013898160029241066,0.009238862991333007,0.0027607083369776677,10.0,scale,"{'model__C': 10, 'model__gamma': 'scale'}",0.8305320672275567,0.8621194717896883,0.7772838790493688,0.8273573802985568,0.8123577524893314,0.8219301101709003,0.02758097060841014,3
0.017667341232299804,0.0019700210484028735,0.011989450454711914,0.0027807226764196852,10.0,0.001,"{'model__C': 10, 'model__gamma': 0.001}",0.7434450163108701,0.7587616165734017,0.6634445934927273,0.7153810242045535,0.6235967088369835,0.7009257918837073,0.050490490436408415,11
0.015337181091308594,0.0038324239527563505,0.009158945083618164,0.002136419777486138,10.0,0.01,"{'model__C': 10, 'model__gamma': 0.01}",0.7983749343365022,0.8475771075771076,0.7669255710414247,0.7933355022170812,0.7477906975619639,0.7908007625468159,0.03378531277911962,7
0.017577171325683594,0.003861338560107221,0.00906996726989746,0.0012028396603218786,10.0,0.1,"{'model__C': 10, 'model__gamma': 0.1}",0.8176116987457372,0.8617532467532467,0.7454135692174207,0.8150813855633133,0.8139580369843528,0.8107635874528143,0.03727281785846967,5
0.024338674545288087,0.001310820121588198,0.012767744064331055,0.000568313689532089,10.0,1,"{'model__C': 10, 'model__gamma': 1}",0.7063775246612716,0.7458074436930429,0.6355072446433654,0.6713961672922002,0.5922035349456642,0.6702583830471088,0.0535046697792091,12
0.021738433837890626,0.0018213012738707746,0.008126163482666015,0.0012638631763672407,100.0,scale,"{'model__C': 100, 'model__gamma': 'scale'}",0.8573484284703655,0.8887144387144388,0.7969573234984193,0.8178660261993596,0.8218311080284376,0.836543464982204,0.0325177482926153,1
0.014145946502685547,0.00136797882200626,0.007706356048583984,0.0005002991370533224,100.0,0.001,"{'model__C': 100, 'model__gamma': 0.001}",0.7999280941354112,0.8591107503607504,0.7643814894046751,0.7825058532011888,0.7552380952380953,0.7922328564680242,0.03679889936559026,6
0.01644721031188965,0.002153984287180693,0.007246780395507813,0.0011830532409736645,100.0,0.01,"{'model__C': 100, 'model__gamma': 0.01}",0.8192070275403609,0.8886636123478229,0.8195443394040423,0.8235488780009328,0.7916789325242382,0.8285285579634796,0.03214505867439837,2
0.023571872711181642,0.005211019351712053,0.008565044403076172,0.001962103689049436,100.0,0.1,"{'model__C': 100, 'model__gamma': 0.1}",0.8313591595233502,0.8493286817773118,0.7906072548521061,0.8237023419671821,0.7872866287339971,0.8164568133707893,0.023975974163245144,4
0.02416882514953613,0.0016636286226100639,0.010373401641845702,0.0022438402807064216,100.0,1,"{'model__C': 100, 'model__gamma': 1}",0.7063775246612716,0.7458074436930429,0.6355072446433654,0.6713961672922002,0.5922035349456642,0.6702583830471088,0.0535046697792091,12
